site_number	state	sequence_number	attendance_schedule
03385.06*H	FL	1	UNATNDD
03387.*A	FL	1	ALL/ALL/0700-2200
03387.2*A	FL	1	ALL/MON-FRI/0900-1700
03387.2*A	FL	2	ALL/SAT-SUN/IREG
03388.1*A	FL	1	UNATNDD
03388.12*H	FL	1	UNATNDD
03388.94*H	FL	1	ALL/ALL/0800-1600
03389.13*H	FL	1	ALL/ALL/ALL
03390.*H	FL	1	UNATNDD
03390.01*H	FL	1	UNATNDD
03390.02*H	FL	1	UNATNDD
03391.*A	FL	1	UNATNDD
03391.01*A	FL	1	UNATNDD
03391.5*C	FL	1	UNATNDD
03392.5*A	FL	1	UNATNDD
03393.1*A	FL	1	UNATNDD
03393.2*A	FL	1	UNATNDD
03393.3*H	FL	1	ALL/ALL/DALGT
03393.7*H	FL	1	UNATNDD
03394.*A	FL	1	ALL/ALL/0600-2100
03394.01*A	FL	1	ALL/ALL/IREG
03394.02*A	FL	1	UNATNDD
03394.04*A	FL	1	ALL/ALL/ALL
03394.05*A	FL	1	ALL/ALL/DALGT
03394.08*H	FL	1	UNATNDD
03394.09*H	FL	1	UNATNDD
03394.1*H	FL	1	ALL/ALL/0800-1700
03394.4*H	FL	1	ALL/ALL/ALL
03394.431*A	FL	1	UNATNDD
03394.44*A	FL	1	UNATNDD
03394.45*A	FL	1	UNATNDD
03394.62*H	FL	1	UNATNDD
03394.90*C	FL	1	UNATNDD
03396.*A	FL	1	ALL/ALL/0900-1700
03396.002*H	FL	1	ALL/ALL/IREG
03396.01*H	FL	1	UNATNDD
03396.02*A	FL	1	UNATNDD
03396.03*A	FL	1	UNATNDD
03396.1*A	FL	1	UNATNDD
03396.11*A	FL	1	ALL/ALL/DALGT
03396.12*A	FL	1	UNATNDD
03396.13*A	FL	1	UNATNDD
03396.14*A	FL	1	UNATNDD
03396.15*H	FL	1	UNATNDD
03396.17*H	FL	1	UNATNDD/UNATNDD/UNATNDD
03396.3*A	FL	1	ALL/ALL/ALL
03396.41*A	FL	1	UNATNDD
03396.5*A	FL	1	UNATNDD
03397.4*A	FL	1	UNATNDD
03400.*A	FL	1	UNATNDD
03400.01*C	FL	1	UNATNDD
03400.02*H	FL	1	UNATNDD
03402.*H	FL	1	UNATNDD
03403.*C	FL	1	ALL/ALL/DALGT
03403.01*H	FL	1	UNATNDD
03405.2*A	FL	1	UNATNDD
03406.*C	FL	1	UNATNDD
03406.1*C	FL	1	UNATNDD
03406.11*H	FL	1	ALL/ALL/ALL
03406.14*A	FL	1	UNATNDD
03406.20*H	FL	1	ALL/ALL/0830-2330
03406.21*H	FL	1	ALL/ALL/ALL
03406.22*H	FL	1	ALL/ALL/ALL
03406.24*H	FL	1	UNATNDD
03406.29*H	FL	2	ON CALL/ON CALL/ON CALL
03406.31*H	FL	1	ALL/ALL/ALL
03406.33*C	FL	1	UNATNDD
03406.34*H	FL	1	ALL/ALL/DAWN-DUSK
03406.38*C	FL	1	UNATNDD
03406.40*H	FL	1	ALL/ALL/0900-SS
03407.*A	FL	1	ALL/ALL/ALL
03407.09*H	FL	1	IREG
03407.1*A	FL	1	ALL/ALL/ALL
03407.15*A	FL	1	ALL/ALL/IREG
03407.2*A	FL	1	ALL/ALL/0700-2200
03408.*A	FL	1	ALL/ALL/ALL
03411.*A	FL	1	ALL/ALL/0700-1900
03411.11*A	FL	1	UNATNDD
03411.2*A	FL	1	UNATNDD
03412.*H	FL	1	IREG
03414.1*C	FL	1	UNATNDD
03415.*A	FL	1	ALL/ALL/ALL
03416.*A	FL	1	ALL/MON-FRI/1415-0015Z++
03416.*A	FL	2	ALL/SAT-SUN/CLSD
03416.*A	FL	3	ALL/HOLS/CLSD
03419.1*A	FL	1	ALL/ALL/0800-1800
03421.*A	FL	2	ALL/ALL/0800-1900
03421.01*H	FL	1	UNATNDD
03422.31*H	FL	1	ALL/ALL/ALL
03422.52*H	FL	1	ALL/ALL/ALL
03422.54*H	FL	1	ALL/ALL/ALL
03423.2*H	FL	1	ALL/ALL/ALL
03423.3*A	FL	1	ALL/ALL/0700-2000
03424.12*A	FL	3	ALL/MON-FRI/0900-1700
03424.12*A	FL	4	ALL/SAT/0900-1200
03426.19*C	FL	1	UNATNDD
03427.*A	FL	1	UNATNDD
03430.*A	FL	1	ALL/MON-FRI/1200-2200Z++
03430.01*H	FL	1	ALL/MON-FRI/0700-1600
03430.03*H	FL	1	ALL/ALL/ALL
03430.04*H	FL	1	ALL/MON-FRI/0800-1700
03430.05*H	FL	1	UNATNDD
03430.06*H	FL	1	ALL/ALL/ALL
03430.11*C	FL	1	ALL/ALL/DALGT
03430.12*C	FL	1	APR-SEP/ALL/DALGT
03430.13*H	FL	1	ALL/MON-SAT/0800-1700
03430.14*H	FL	1	UNATNDD
03430.15*H	FL	1	UNATNDD
03430.2*A	FL	1	IREG/IREG/DALGT
03430.3*A	FL	1	ALL/ALL/ALL
03430.6*H	FL	1	UNATNDD
03430.62*H	FL	1	UNATNDD
03432.7*H	FL	1	ALL/ALL/ALL
03433.12*H	FL	1	ALL/ALL/ALL
03433.2*A	FL	1	ALL/MON-SAT/0900-1700
03433.2*A	FL	2	ALL/SUN/1000-1500
03433.4*H	FL	1	ALL/ALL/ALL
03434.2*H	FL	1	ALL/ALL/ALL
03435.*A	FL	1	ALL/ALL/ALL
03435.5*A	FL	1	MAR-NOV/MON-FRI/1200-0300Z
03435.5*A	FL	2	ALL/SAT/CLSD
03435.5*A	FL	3	ALL/SUN/2100-0230Z++
03435.5*A	FL	4	NOV-MAR/ /1300-0300Z
03440.18*H	FL	1	UNATNDD
03442.*A	FL	7	ALL/ALL/0800-1700
03442.02*A	FL	1	ALL/ALL/ALL
03442.03*A	FL	1	UNATNDD
03442.04*H	FL	1	UNATNDD
03443.1*A	FL	1	UNATNDD
03443.14*H	FL	1	UNATNDD
03443.31*H	FL	1	UNATNDD
03443.35*H	FL	1	ALL/MON-FRI/0630-1730
03443.4*A	FL	2	ALL/ALL/0800-1700
03443.5*H	FL	1	UNATNDD
03446.*A	FL	1	ALL/ALL/0700-1900
03446.01*U	FL	1	ALL/ALL/ALL
03446.02*A	FL	1	UNATNDD
03448.16*H	FL	1	ALL/ALL/ALL
03449.11*A	FL	1	ALL/ALL/ALL
03449.12*A	FL	1	UNATNDD
03450.*A	FL	1	UNATNDD
03451.*A	FL	1	ALL/ALL/0800-2000
03451.2*H	FL	1	ALL/ALL/ALL
03451.8*A	FL	1	UNATNDD
03451.81*H	FL	1	UNATNDD
03453.2*A	FL	3	UNATTND
03453.21*H	FL	1	ALL/ALL/0700-0700
03453.51*A	FL	1	UNATNDD
03453.53*H	FL	1	UNATNDD
03455.*A	FL	1	ALL/ALL/ALL
03455.1*A	FL	1	ALL/MON-FRI/0900-1700
03455.2*A	FL	1	UNATNDD
03455.24*A	FL	1	UNATNDD
03459.*A	FL	1	ALL/ALL/0800-DUSK
03459.01*H	FL	1	ALL/ALL/ALL
03459.02*A	FL	1	UNATNDD
03462.7*A	FL	1	UNATNDD
03462.8*A	FL	1	UNATNDD
03462.97*A	FL	1	ALL/ALL/ALL
03462.98*A	FL	1	ALL/ALL/ALL
03463.019*H	FL	1	ALL/ALL/ALL
03463.02*H	FL	1	ALL/ALL/0800-1700
03463.18*A	FL	1	ALL/MON-SAT/0800-1730
03463.41*H	FL	1	UNATNDD
03463.5*C	FL	1	UNATNDD
03466.1*H	FL	1	ALL/ALL/ALL
03468.*A	FL	1	ALL/ALL/0600-2400
03468.01*H	FL	1	UNATNDD
03471.01*H	FL	1	UNATNDD
03471.02*C	FL	1	UNATNDD
03471.03*H	FL	1	UNATNDD
03471.1*A	FL	1	UNATNDD
03471.21*A	FL	1	UNATNDD
03471.3*A	FL	1	ALL/ALL/ALL
03474.*A	FL	1	ALL/ALL/0700-2100
03474.01*H	FL	1	UNATNDD
03474.03*H	FL	1	ALL/ALL/ALL
03474.05*H	FL	1	ALL/ALL/ALL
03475.*A	FL	1	ALL/ALL/ALL
03480.*A	FL	1	UNATNDD
03481.01*C	FL	1	UNATNDD
03481.02*H	FL	1	ALL/ALL/ALL
03481.19*A	FL	1	UNATTND
03481.3*H	FL	1	UNATNDD
03481.31*H	FL	1	UNATNDD
03483.1*H	FL	1	ALL/ALL/ALL
03483.11*H	FL	1	ALL/ALL/0800-1700
03483.12*H	FL	1	UNATNDD
03483.13*A	FL	1	UNATNDD
03483.4*A	FL	1	UNATNDD
03483.5*H	FL	1	IREG
03484.*A	FL	1	ALL/ALL/ALL
03486.*A	FL	1	IREG
03489.*C	FL	1	ALL/ALL/DALGT
03489.1*A	FL	1	ALL/MON-FRI/0800-1700
03493.*A	FL	1	ALL/MON-FRI/0730-1800
03493.*A	FL	2	ALL/SAT-SUN/0700-1700
03493.02*H	FL	1	UNATNDD
03493.04*C	FL	1	ALL/MON-FRI/0800-1900
03493.05*H	FL	1	ALL/ALL/ALL
03494.9*H	FL	1	UNATNDD
03505.01*A	FL	1	UNATNDD
03505.3*H	FL	1	UNATNDD
03506.6*A	FL	1	UNATNDD
03507.*A	FL	1	ALL/ALL/0800-2300
03507.01*H	FL	1	UNATNDD
03507.02*H	FL	1	ALL/ALL/ALL
03507.2*A	FL	1	UNATNDD
03507.5*A	FL	1	ALL/ALL/DALGT
03507.57*A	FL	1	UNATNDD/UNATNDD/UNATNDD
03507.8*H	FL	1	UNATNDD
03509.*A	FL	1	UNATNDD
03509.1*A	FL	1	ALL/ALL/ALL
03509.11*H	FL	1	ALL/ALL/ALL
03509.15*A	FL	1	UNATNDD
03509.17*A	FL	1	UNATNDD
03509.2*A	FL	1	UNATNDD
03509.3*H	FL	1	ALL/ALL/ALL
03511.23*H	FL	1	UNATNDD
03513.*A	FL	1	ALL/ALL/ALL
03513.03*H	FL	1	UNATNDD
03513.04*C	FL	1	UNATNDD
03513.1*A	FL	1	ALL/MON-FRI/0700-2200
03513.1*A	FL	2	ALL/SAT-SUN/0700-1900
03513.14*H	FL	1	UNATNDD
03513.17*H	FL	1	ALL/MON-FRI/0800-1600
03513.19*H	FL	1	ALL/MON-FRI/0900-1700
03513.3*H	FL	1	UNATNDD
03513.4*H	FL	1	ALL/ALL/ALL
03514.*A	FL	3	ALL/ALL/ALL
03515.*A	FL	1	ALL/ALL/0800-1700
03519.*A	FL	2	ALL/ALL/0700-1900
03522.6*H	FL	1	ALL/ALL/ALL
03525.*C	FL	1	ALL/ALL/0900-1700
03525.01*C	FL	1	ALL/MON-FRI/0800-1600
03526.*A	FL	1	ALL/ALL/ALL
03526.01*H	FL	1	ON CALL
03531.*A	FL	1	ALL/ALL/0800-2000
03531.3*A	FL	1	ALL/ALL/1300-2200Z++
03531.4*H	FL	1	UNATNDD
03532.*A	FL	1	ALL/ALL/0700-2100
03532.4*A	FL	1	UNATNDD
03532.41*A	FL	2	UNATNND
03532.42*A	FL	1	ALL/ALL/ALL
03533.3*A	FL	2	ALL/TUE-FRI/0830-1200
03533.8*A	FL	1	ALL/ALL/0800-1700
03534.*A	FL	1	ALL/ALL/ALL
03535.02*A	FL	1	UNATNDD
03535.03*A	FL	1	ALL/MON-FRI/1300-0600Z++
03538.*A	FL	1	ALL/ALL/0700-1900
03539.1*A	FL	1	ALL/ALL/SR-SS
03539.2*A	FL	1	ALL/ALL/DALGT
03539.4*A	FL	1	UNATNDD
03539.5*H	FL	1	UNATNDD
03540.*A	FL	1	ALL/ALL/0700-2100
03540.4*H	FL	1	ALL/MON-FRI/1415-0015Z++
03540.4*H	FL	2	ALL/SAT-SUN/CLSD
03540.4*H	FL	3	ALL/HOLS/CLSD
03540.7*A	FL	1	ALL/ALL/ALL
03544.*A	FL	1	ALL/ALL/ALL
03546.1*A	FL	1	ALL/ALL/1600-2000
03547.01*A	FL	1	ALL/ALL/DAWN-DUSK
03549.1*A	FL	1	UNATNDD
03549.11*A	FL	1	UNATNDD
03550.01*A	FL	1	UNATNDD
03550.7*A	FL	1	ALL/ALL/ALL
03550.9*H	FL	1	ALL/MON-FRI/0900-1600
03552.*C	FL	1	ALL/ALL/1000-SS
03552.7*H	FL	1	ALL/ALL/ALL
03553.*A	FL	1	UNATNDD
03553.4*H	FL	1	UNATNDD
03554.1*A	FL	1	ALL/ALL/ALL
03554.2*A	FL	1	ALL/ALL/ALL
03555.*A	FL	1	ALL/ALL/ALL
03555.1*A	FL	1	ALL/ALL/0800-1830
03555.13*H	FL	1	ALL/ALL/ALL
03555.14*H	FL	1	ALL/ALL/ALL
03555.15*H	FL	1	UNATNDD
03555.16*H	FL	1	UNATNDD
03555.19*H	FL	1	UNATNDD
03555.2*H	FL	1	UNATNDD
03555.21*H	FL	1	UNATNDD
03555.22*H	FL	1	UNATNDD
03555.23*H	FL	1	ALL/ALL/DALGT
03559.*A	FL	1	ALL/ALL/0800-1800
03559.01*H	FL	1	ALL/ALL/ALL
03559.1*A	FL	1	UNATNDD
03561.*A	FL	1	ALL/ALL/DALGT
03561.01*A	FL	1	UNATNDD
03564.09*H	FL	1	ALL/ALL/ALL
03566.*A	FL	1	UNATNDD
03568.15*C	FL	1	UNATNDD
03570.*A	FL	1	ALL/ALL/0700-1900
03570.11*H	FL	1	UNATNDD
03570.13*H	FL	1	ALL/ALL/ALL
03570.14*H	FL	1	UNATNDD
03570.2*C	FL	1	ALL/ALL/DALGT
03570.21*C	FL	1	UNATNDD
03572.*C	FL	1	UNATNDD
03573.*A	FL	1	UNATNDD
03573.5*U	FL	1	ALL/ALL/0800-1800
03575.*A	FL	1	UNATNDD
03575.4*A	FL	1	UNATNDD
03575.5*A	FL	1	ALL/ALL/0700-DUSK
03575.6*A	FL	1	UNATNDD
03575.62*A	FL	1	UNATNDD
03577.*A	FL	1	ALL/ALL/0800-1700
03577.1*H	FL	1	ALL/ALL/0600-1800
03580.*A	FL	1	UNATNDD
03580.01*A	FL	1	UNATNDD
03611.*A	GA	1	ALL/MON - SAT/0800-1700
03616.*A	GA	1	ALL/ALL/0500-2200
03616.4*H	GA	1	UNATNDD
03618.9*A	GA	1	UNATNDD
03619.*A	GA	2	UNATNDD
03623.*A	GA	1	ALL/ALL/0800-2000
03623.01*H	GA	1	UNATNDD
03623.1*A	GA	1	UNATNDD
03627.*A	GA	1	UNATNDD
03630.*A	GA	1	ALL/MON-SAT/IREG
03630.*A	GA	2	ALL/SUN/IREG
03630.011*A	GA	1	ALL/ALL/0700-1900
03633.1*A	GA	1	UNATNDD
03633.12*A	GA	1	UNATNDD
03637.*A	GA	1	ALL/ALL/0600-2100
03637.03*H	GA	1	UNATNDD
03639.*A	GA	2	ALL/ALL/ALL
03639.03*H	GA	1	ALL/ALL/ALL
03639.04*H	GA	2	ALL/ALL/ALL
03639.05*H	GA	1	UNATNDD
03639.06*H	GA	1	UNATNDD
03639.07*H	GA	1	UNATNDD
03639.08*H	GA	1	UNATNDD
03639.09*H	GA	1	UNATNDD
03639.12*H	GA	1	ALL/ALL/ALL
03639.14*H	GA	1	UNTNDD
03640.*A	GA	1	ALL/ALL/ALL
03640.23*A	GA	1	ALL/ALL/0700-2000
03640.23*A	GA	2	DECEMBER/25/CLSD
03640.23*A	GA	3	NOVEMBER/26/0700-1200
03640.23*A	GA	4	DECEMBER/24/0700-1200
03640.24*H	GA	1	ALL/ALL/ALL
03640.29*H	GA	1	UNATNDD
03640.31*A	GA	1	UNATNDD
03640.34*H	GA	1	UNATNDD
03640.35*H	GA	1	UNATNDD
03640.36*H	GA	1	UNATNND
03640.4*H	GA	1	UNATNDD
03641.*A	GA	1	ALL/MON-FRI/0800-1700
03641.*A	GA	2	ALL/SAT-SUN/0900-1700
03641.1*H	GA	1	UNATNDD
03642.*A	GA	1	ALL/ALL/0600-0000
03642.01*H	GA	1	UNATNDD
03643.*A	GA	1	ALL/ALL/ALL
03644.*A	GA	1	UNATNDD
03646.*A	GA	1	ALL/ALL/0700-DUSK
03646.03*H	GA	1	UNATNDD
03646.04*H	GA	1	ALL/ALL/ALL
03646.05*H	GA	1	UNATNDD
03646.06*H	GA	1	UNATNDD
03650.*A	GA	1	ALL/ALL/ALL
03650.5*H	GA	1	UNATNDD
03650.7*H	GA	1	ALL/ALL/ALL
03652.01*H	GA	1	UNATNDD
03653.*A	GA	2	ALL/ALL/0800-1800
03653.01*A	GA	1	UNATNDD
03653.03*A	GA	1	UNATNDD
03653.1*A	GA	1	ALL/ALL/ALL
03654.01*H	GA	1	UNATNDD
03656.31*A	GA	1	ALL/ALL/ALL
03656.32*A	GA	1	UNATNDD
03657.1*A	GA	1	ALL/MON-FRI/0800-1600
03657.11*H	GA	1	UNATNDD
03666.*A	GA	1	ALL/ALL/0800-1700
03666.01*H	GA	1	UNATNDD
03668.1*A	GA	1	ALL/ALL/ALL
03668.12*A	GA	1	UNATNDD
03669.*H	GA	1	SEP-DEC/SAT-SUN/1000-1800
03669.01*A	GA	1	UNATNDD
03669.05*H	GA	1	MAR-DEC/3/1000-1700
03671.*A	GA	1	UNATNDD
03674.1*A	GA	1	UNATNDD
03674.2*A	GA	1	UNATNDD
03679.*A	GA	1	UNATNDD
03682.1*H	GA	1	UNATNDD
03683.*A	GA	1	ALL/ALL/0700-2000
03684.9*H	GA	1	UNATNDD
03685.2*A	GA	1	UNATNDD
03686.5*H	GA	1	ALL/ALL/ALL
03688.*A	GA	1	UNATNDD
03692.*A	GA	1	UNATNDD
03692.16*H	GA	1	UNATNDD
03700.*A	GA	1	ALL/MON-FRI/0900-1600
03701.01*H	GA	1	ALL/MON-SAT/0800-1700
03701.1*A	GA	1	NOV-MAR/ALL/0800-1800
03701.1*A	GA	2	APR-OCT/ALL/0800-2000
03701.13*H	GA	1	UNATNDD
03703.*A	GA	1	ALL/MON-SAT/0800-1700
03703.6*A	GA	1	UNATNDD
03703.7*H	GA	1	UNATNDD
03703.9*A	GA	1	ALL/ALL/0800-1800
03703.91*H	GA	1	UNATNDD
03704.5*A	GA	1	UNATNDD
03704.51*A	GA	1	UNATNDD
03705.2*A	GA	1	ALL/MON-FRI/0800-1700
03705.2*A	GA	2	ALL/SAT/0930-1600
03705.2*A	GA	3	ALL/SUN/1300-1700
03705.22*A	GA	1	UNATNDD
03705.23*A	GA	1	IREG
03705.24*A	GA	1	UNATNDD
03705.3*A	GA	1	UNATNDD
03705.31*H	GA	1	UNATNDD
03709.1*A	GA	1	ALL/ALL/0600-2000
03710.*A	GA	1	UNATNDD
03712.1*A	GA	1	ALL/ALL/0900-1700
03715.*A	GA	1	UNATNDD
03717.*A	GA	1	12/MON-SAT/0800 - 1700
03721.*A	GA	1	IREG
03721.1*A	GA	1	UNATNDD
03721.2*A	GA	1	UNATNDD
03721.7*A	GA	1	ALL/MON-SAT/0815-1500
03721.99*A	GA	1	ALL/ALL/0900-1700
03722.*A	GA	1	UNATNDD
03722.1*A	GA	1	UNATNDD
03722.2*A	GA	1	ALL/ALL/ALL
03722.21*A	GA	2	IRREG
03723.1*A	GA	1	UNATNDD
03724.*A	GA	1	ALL/MON-SAT/0800-1200
03728.*A	GA	1	ALL/ALL/ALL
03728.1*H	GA	1	UNATNDD
03728.3*H	GA	1	ALL/ALL/ALL
03732.5*A	GA	1	UNATNDD
03732.8*A	GA	1	UNATNDD
03732.81*A	GA	1	UNATNDD
03732.811*A	GA	1	UNATNDD
03732.812*A	GA	1	UNATNDD
03732.813*A	GA	1	IREG
03732.814*A	GA	1	ALL/ALL/ALL
03732.815*A	GA	1	UNATNDD
03732.96*H	GA	1	ALL/MON-FRI/0800-1700
03733.*A	GA	1	UNATNDD
03733.13*A	GA	1	UNATNDD
03733.15*H	GA	1	UNATNDD
03733.16*H	GA	1	ALL/ALL/ALL
03737.*A	GA	1	NOV-MAR/MON-SAT/0800-1700
03737.*A	GA	2	APR-OCT/MON-SAT/0800-1800
03738.5*A	GA	1	ALL/ALL/0800-1800
03744.03*A	GA	1	UNATNDD
03744.04*H	GA	1	UNATNDD
03744.05*A	GA	1	UNATNDD
03744.06*A	GA	1	ALL/ALL/DAWN-DUSK
03744.61*A	GA	1	UNATNDD
03745.*A	GA	1	UNATNDD
03745.711*H	GA	1	ALL/ALL/ALL
03745.712*A	GA	1	IREG
03745.713*A	GA	1	ALL/ALL/ALL
03745.715*H	GA	1	UNATNDD
03745.716*H	GA	1	UNATNDD
03745.717*H	GA	1	UNATNDD
03745.718*H	GA	1	UNATNDD
03747.*A	GA	1	UNATNDD
03749.*A	GA	1	UNATNDD
03749.02*H	GA	1	UNATNDD
03750.*H	GA	1	UNATNDD
03750.01*A	GA	1	ALL/ALL/0800-1800
03752.*A	GA	3	ALL/MON-SAT/0800-1700
03752.*A	GA	4	ALL/SUN/1300-1700
03752.01*H	GA	1	UNATNDD
03752.02*A	GA	1	UNATNDD
03752.3*A	GA	1	ALL/ALL/DALGT
03753.*A	GA	1	UNATNDD
03753.1*A	GA	1	UNATNDD
03756.*A	GA	1	ALL/MON-SAT/0800-1700
03756.*A	GA	2	ALL/SUN/1300-1700
03756.1*A	GA	1	UNATNDD
03756.3*A	GA	1	UNATNDD
03758.*A	GA	1	ALL/ALL/0800-1700
03760.*A	GA	1	ALL/M-F/0800-1700
03761.01*A	GA	2	ALL/ALL/ALL
03761.02*H	GA	1	UNATNDD
03762.*A	GA	1	UNATNDD
03766.*A	GA	1	ALL/MON-SAT/0800-1800
03766.*A	GA	2	ALL/SUN/1000-1800
03766.01*H	GA	1	UNATNDD
03766.02*A	GA	1	IRREG
03766.03*A	GA	1	IREG
03768.*H	GA	1	IRREG
03771.*A	GA	1	UNATNDD
03771.01*H	GA	1	UNATNDD
03772.2*A	GA	1	ALL/MON-SAT/0800-1800
03772.2*A	GA	2	ALL/SUN/1300-1700
03773.2*H	GA	1	ALL/ALL/ALL
03775.11*A	GA	1	UNATNDD
03775.12*A	GA	1	UNATNDD
03778.*A	GA	1	UNATNDD
03781.1*A	GA	1	ALL/MON-SAT/0800-1800
03781.1*A	GA	2	ALL/SUN/1300-1800
03782.5*A	GA	1	ALL/MON-SAT/0900 - 1700
03782.5*A	GA	2	ALL/SUN/0800 - 1200
03785.*A	GA	1	UNATNDD
03785.5*A	GA	1	UNATNDD
03786.*C	GA	1	UNATNDD
03787.6*A	GA	1	UNATNDD
03788.1*A	GA	1	UNATNDD
03788.12*A	GA	1	UNATNDD
03788.132*A	GA	1	UNATNDD
03788.135*H	GA	1	ALL/ALL/ALL
03788.142*A	GA	1	UNATNDD
03788.17*A	GA	1	UNATNDD
03791.*A	GA	1	ALL/MON-SAT/0800-1700
03791.01*H	GA	1	UNATNDD
03793.1*A	GA	1	UNATNDD
03793.12*H	GA	1	IREG
03799.*H	GA	1	ALL/ALL/ALL
03799.01*A	GA	1	UNATNDD
03799.02*H	GA	1	ALL/ALL/ALL
03799.8*A	GA	3	ALL/ALL/ALL
03800.01*A	GA	1	UNATNDD
03800.2*H	GA	1	UNATNDD
03800.6*H	GA	1	UNATNDD
03800.8*A	GA	1	ALL/MON-FRI/0600-2300
03801.13*A	GA	1	UNATNDD
03801.14*A	GA	1	UNATNDD
03801.15*A	GA	1	UNATNDD
03801.16*A	GA	1	UNATNDD
03801.17*A	GA	1	UNATNDD
03802.5*A	GA	1	UNATNDD
03802.51*A	GA	1	UNATNDD
03805.*A	GA	1	ALL/ALL/DALGT
03805.01*H	GA	1	UNATNDD
03805.02*H	GA	1	UNATNDD
03805.04*H	GA	1	ALL/ALL/ALL
03806.*A	GA	1	UNATNDD
03811.*A	GA	1	UNATNDD
03817.*A	GA	1	UNATNDD
03819.*A	GA	3	ALL/ALL/0800-1700
03820.*A	GA	3	ALL/MON-FRI/0800-1700
03820.01*A	GA	1	UNATNDD
03820.03*A	GA	1	ALL/ALL/ALL
03820.04*A	GA	1	UNATNDD
03820.05*A	GA	1	ALL/MON-SAT/0800-DUSK
03820.06*A	GA	1	UNATNDD
03820.19*H	GA	1	UNATNDD
03822.*A	GA	1	UNATNDD
03824.5*A	GA	1	ALL/ALL/0600-1800
03825.52*A	GA	1	ALL/MON-FRI/0800-1700
03825.53*A	GA	1	ALL/ALL/ALL
03827.8*A	GA	1	IREG
03827.81*A	GA	1	ALL/ALL/DYLGT
03828.12*A	GA	1	ON CALL
03828.3*A	GA	1	UNATNDD
03831.1*A	GA	1	UNATNDD
03834.*A	GA	1	ALL/MON-FRI/0800-1700
03839.*H	GA	2	ALL/MON-FRI/0800-1700
03839.95*A	GA	1	IREG
03841.*A	GA	1	UNATNDD
03842.*A	GA	1	UNATNDD
03842.5*A	GA	1	UNATNDD
03844.1*A	GA	1	UNATNDD
03847.1*A	GA	1	ALL/ALL/0900-1800
03854.1*A	GA	1	ALL/MON-FRI/0800-1700
03855.4*A	GA	1	ALL/ALL/0900-1600
03856.9*A	GA	1	UNATNDD
03857.2*A	GA	2	ALL/MON-FRI/0800-1700
03857.21*H	GA	1	UNATNDD
03858.01*H	GA	1	ALL/ALL/IREG
03859.5*G	GA	1	UNATNDD
03859.8*A	GA	1	ALL/ALL/DALGT
03860.*A	GA	3	ALL/MON-FRI/0900-1700
03860.01*A	GA	1	UNATNDD
03860.02*A	GA	1	UNATNDD
03862.*A	GA	1	ALL/MON-FRI/0800-1800
03862.*A	GA	2	ALL/SAT-SUN/0900-1700
03862.01*H	GA	1	UNATNDD
03862.02*A	GA	1	ALL/ALL/DALGT
03862.03*A	GA	1	UNATNDD
03869.2*A	GA	1	ALL/ALL/ALL
03869.22*H	GA	1	UNATNDD
03871.*A	GA	1	UNATNDD
03875.*A	GA	1	UNATNDD
03876.1*A	GA	1	UNATNDD
03877.8*H	GA	1	UNATNDD
03878.*A	GA	1	UNATNDD
03879.49*A	GA	1	UNATNDD
03879.5*A	GA	1	UNATNDD
03879.53*A	GA	2	UNATNDD
03879.81*A	GA	1	UNATNDD
03880.*A	GA	1	IREG
03880.3*A	GA	2	UNATNDD
03882.*A	GA	1	UNATNDD
03883.*A	GA	1	UNATNDD
03887.2*A	GA	1	UNATNDD
03887.212*A	GA	1	UNATNDD
03898.2*A	GA	2	UNATNND
03901.*A	GA	1	ALL/ALL/0700-1900
03901.01*H	GA	1	UNATNDD
03901.13*C	GA	1	UNATNDD
03902.*A	GA	1	ALL/ALL/0600-2200
03904.1*A	GA	1	ALL/MON-SAT/0900-1500
03904.1*A	GA	2	ALL/SUN/0900 - 1200
03904.12*H	GA	1	ALL/ALL/ALL
03904.13*A	GA	1	UNATNDD
03904.14*A	GA	1	IREG
03910.*A	GA	1	ALL/MON-FRI/1200-0400Z++
03912.6*H	GA	1	ALL/ALL/ALL
03912.61*H	GA	1	UNATNDD
03912.8*H	GA	1	ALL/MON-FRI/0700-2200
03913.01*H	GA	1	UNATNDD
03916.*A	GA	2	UNATTENDED
03916.12*H	GA	1	UNATNDD
03918.*A	GA	1	UNATNDD
03919.*A	GA	1	IREG
03920.*A	GA	1	ALL/MON - SAT/0800-1730
03920.1*H	GA	1	UNATNDD
03920.11*A	GA	1	UNATNDD
03922.1*A	GA	1	UNATNDD
03925.32*A	GA	1	UNATNDD
03928.*A	GA	1	ALL/MON-FRI/0700-1700
03928.01*H	GA	1	ALL
03928.02*H	GA	1	UNATNDD
03928.1*A	GA	1	UNATNDD
03928.2*A	GA	1	UNATNDD
03928.21*A	GA	1	UNATNDD
03930.1*A	GA	1	UNATNDD
03931.2*A	GA	1	UNATNDD
03931.7*A	GA	1	UNATNDD
03933.*A	GA	1	UNATNDD
03935.*A	GA	1	ALL/ALL/0800-DUSK
03935.3*A	GA	1	UNATNDD
03936.*A	GA	2	UNATNDD
03936.8*A	GA	1	UNATNDD
03937.5*A	GA	1	UNATNDD
03938.*A	GA	1	UNATNDD
03938.1*A	GA	1	UNATTENDED
03940.*A	GA	1	UNATNDD
03941.01*A	GA	1	UNATNDD
03941.5*A	GA	1	ALL/M-F/0700-2000
